wage_quartile,Other,app_website,code,document,explanation,guidance,misc,entropy_bits
Q1,0.041075972373682296,0.05461650308978553,0.13077062886223192,0.13640494365685205,0.25708833151581245,0.17702653580516176,0.203017084696474,2.6071154874362437
Q2,0.046896301008815776,0.0625284013450877,0.15741161501408707,0.1732254839589203,0.1916749977278924,0.12460238116877215,0.24366081977642462,2.64264614696334
Q3,0.05198582204853222,0.06689084795055894,0.1595928383168227,0.16322821048804873,0.19658275015904753,0.12269381077887849,0.23902572025811142,2.6583919038657045
Q4,0.03608106879941834,0.09642824684177043,0.22593838044169773,0.20767063528128693,0.14895937471598655,0.09715532127601563,0.18776697264382441,2.6431536463296403
